Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean,before_Player,before_Nation,before_Pos,before_Squad,before_Age,before_Born,before_MP,before_Starts,before_Min,before_90s,before_Gls,before_Ast,before_G+A,before_G-PK,before_PK,before_PKatt,before_CrdY,before_CrdR,before_xG,before_npxG,before_xAG,before_npxG+xAG,before_PrgC,before_PrgP,before_PrgR,before_season,before_league,before_Gls_per_90,before_Ast_per_90,before_GA_per_90,before_player_clean,before_fbref_season,before_fbref_league,after_Player,after_Nation,after_Pos,after_Squad,after_Age,after_Born,after_MP,after_Starts,after_Min,after_90s,after_Gls,after_Ast,after_G+A,after_G-PK,after_PK,after_PKatt,after_CrdY,after_CrdR,after_xG,after_npxG,after_xAG,after_npxG+xAG,after_PrgC,after_PrgP,after_PrgR,after_season,after_league,after_Gls_per_90,after_Ast_per_90,after_GA_per_90,after_player_clean,after_fbref_season,after_fbref_league
Breel Embolo,22,Switzerland,Centre-Forward,14000000,FC Schalke 04,11000000.0,Bundesliga_2019.csv,Bundesliga,Borussia Mönchengladbach,,breel embolo,2019,2018,2019,Bundesliga,Breel Embolo,ch SUI,FW,Schalke 04,21,1997.0,20.0,15.0,1345,0.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,31.0,23.0,111.0,2018-2019,Bundesliga,0.0,0.0,0.0,breel embolo,2018,Bundesliga,Breel Embolo,ch SUI,FW MF,Gladbach,22,1997.0,28.0,17.0,155,0.0,8.0,5.0,13.0,8.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,35.0,43.0,120.0,2019-2020,Bundesliga,0.0,0.0,0.0,breel embolo,2019,Bundesliga
Filip Kostić,26,Serbia,Left Midfield,22000000,Hamburger SV,6300000.0,Bundesliga_2019.csv,Bundesliga,Eintracht Frankfurt,,filip kostić,2019,2018,2019,Bundesliga,Filip Kostić,rs SRB,DF FW,Eint Frankfurt,25,1992.0,34.0,33.0,2956,32.8,6.0,10.0,16.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,156.0,140.0,225.0,2018-2019,Bundesliga,0.1829268292682927,0.3048780487804878,0.4878048780487805,filip kostić,2018,Bundesliga,Filip Kostić,rs SRB,DF FW,Eint Frankfurt,26,1992.0,33.0,33.0,2958,32.9,4.0,11.0,15.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,161.0,103.0,248.0,2019-2020,Bundesliga,0.121580547112462,0.3343465045592705,0.4559270516717325,filip kostić,2019,Bundesliga
Niclas Füllkrug,26,Germany,Centre-Forward,8000000,Hannover 96,6500000.0,Bundesliga_2019.csv,Bundesliga,SV Werder Bremen,,niclas füllkrug,2019,2018,2019,Bundesliga,Niclas Füllkrug,de GER,FW,Hannover 96,25,1993.0,14.0,13.0,1112,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9,0.0,24.0,46.0,102.0,2018-2019,Bundesliga,0.0,0.0,0.0,niclas füllkrug,2018,Bundesliga,Niclas Füllkrug,de GER,FW,Werder Bremen,26,1993.0,8.0,4.0,403,0.0,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6,0.0,11.0,9.0,48.0,2019-2020,Bundesliga,0.0,0.0,0.0,niclas füllkrug,2019,Bundesliga
Ihlas Bebou,25,Togo,Centre-Forward,12000000,Hannover 96,9000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,,ihlas bebou,2019,2018,2019,Bundesliga,Ihlas Bebou,tg TOG,MF FW,Hannover 96,24,1994.0,12.0,12.0,1066,0.0,4.0,3.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,97.0,2018-2019,Bundesliga,0.0,0.0,0.0,ihlas bebou,2018,Bundesliga,Ihlas Bebou,tg TOG,FW MF,Hoffenheim,25,1994.0,32.0,20.0,2102,0.0,6.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,48.0,182.0,2019-2020,Bundesliga,0.0,0.0,0.0,ihlas bebou,2019,Bundesliga
Jacob Bruun Larsen,21,Denmark,Left Winger,12000000,Borussia Dortmund,9000000.0,Bundesliga_2019.csv,Bundesliga,TSG Hoffenheim,,jacob bruun larsen,2019,2018,2019,Bundesliga,Jacob Bruun Larsen,dk DEN,FW,Dortmund,19,1998.0,24.0,16.0,1265,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0,138.0,2018-2019,Bundesliga,0.0,0.0,0.0,jacob bruun larsen,2018,Bundesliga,Jacob Bruun Larsen,dk DEN,FW MF,Hoffenheim,20,1998.0,11.0,5.0,391,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,19.0,11.0,31.0,2019-2020,Bundesliga,0.0,0.0,0.0,jacob bruun larsen,2019,Bundesliga
Dodi Lukebakio,21,Belgium,Right Winger,18000000,Watford,20000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,,dodi lukebakio,2019,2018,2019,Bundesliga,Dodi Lukebakio,be BEL,FW MF,Düsseldorf,20,1997.0,31.0,22.0,1972,0.0,10.0,3.0,13.0,6.0,4.0,6.0,6.0,0.0,0.0,8.0,0.0,0.0,72.0,41.0,207.0,2018-2019,Bundesliga,0.0,0.0,0.0,dodi lukebakio,2018,Bundesliga,Dodi Lukebakio,be BEL,FW MF,Hertha BSC,21,1997.0,30.0,24.0,2031,0.0,7.0,6.0,13.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,39.0,166.0,2019-2020,Bundesliga,0.0,0.0,0.0,dodi lukebakio,2019,Bundesliga
Matheus Cunha,20,Brazil,Second Striker,13000000,RB Leipzig,18000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,,matheus cunha,2019,2018,2019,Bundesliga,Matheus Cunha,br BRA,FW MF,RB Leipzig,19,1999.0,25.0,9.0,853,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7,0.0,21.0,30.0,75.0,2018-2019,Bundesliga,0.0,0.0,0.0,matheus cunha,2018,Bundesliga,Matheus Cunha,br BRA,FW MF,Hertha BSC,20,1999.0,11.0,9.0,744,0.0,5.0,0.0,5.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.5,0.0,25.0,21.0,30.0,2019-2020,Bundesliga,0.0,0.0,0.0,matheus cunha,2019,Bundesliga
Edward Löwen,22,Germany,Central Midfield,7000000,1.FC Nuremberg,7000000.0,Bundesliga_2019.csv,Bundesliga,Hertha BSC,,edward löwen,2019,2018,2019,Bundesliga,Eduard Löwen,de GER,MF FW,Nürnberg,21,1997.0,22.0,17.0,1623,18.0,3.0,2.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,46.0,98.0,59.0,2018-2019,Bundesliga,0.1666666666666666,0.1111111111111111,0.2777777777777778,eduard löwen,2018,Bundesliga,Eduard Löwen,de GER,MF,Augsburg,22,1997.0,16.0,7.0,671,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.8,0.8,0.8,0.0,9.0,17.0,23.0,2019-2020,Bundesliga,0.0,0.0,0.0,eduard löwen,2019,Bundesliga
Vincenzo Grifo,26,Italy,Left Winger,9000000,TSG Hoffenheim,7000000.0,Bundesliga_2019.csv,Bundesliga,SC Freiburg,,vincenzo grifo,2019,2018,2019,Bundesliga,Vincenzo Grifo,it ITA,MF FW,Hoffenheim,25,1993.0,7.0,3.0,335,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.6,0.0,15.0,22.0,36.0,2018-2019,Bundesliga,0.0,0.0,0.0,vincenzo grifo,2018,Bundesliga,Vincenzo Grifo,it ITA,MF,Hoffenheim,26,1993.0,1.0,0.0,15,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2019-2020,Bundesliga,0.0,0.0,0.0,vincenzo grifo,2019,Bundesliga
David Kownacki,22,Poland,Centre-Forward,7500000,Sampdoria,6750000.0,Bundesliga_2019.csv,Bundesliga,Fortuna Düsseldorf,,david kownacki,2019,2018,2019,Bundesliga,Dawid Kownacki,pl POL,MF FW,Düsseldorf,21,1997.0,10.0,7.0,575,0.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,2.0,13.0,10.0,34.0,2018-2019,Bundesliga,0.0,0.0,0.0,dawid kownacki,2018,Bundesliga,Dawid Kownacki,pl POL,FW MF,Düsseldorf,22,1997.0,20.0,11.0,1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.7,3.0,21.0,13.0,91.0,2019-2020,Bundesliga,0.0,0.0,0.0,dawid kownacki,2019,Bundesliga
Benito Raman,24,Belgium,Centre-Forward,12000000,Fortuna Düsseldorf,10000000.0,Bundesliga_2019.csv,Bundesliga,FC Schalke 04,,benito raman,2019,2018,2019,Bundesliga,Benito Raman,be BEL,MF FW,Düsseldorf,23,1994.0,30.0,19.0,1681,0.0,10.0,4.0,14.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,69.0,59.0,145.0,2018-2019,Bundesliga,0.0,0.0,0.0,benito raman,2018,Bundesliga,Benito Raman,be BEL,FW,Schalke 04,24,1994.0,25.0,19.0,1601,0.0,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,32.0,22.0,89.0,2019-2020,Bundesliga,0.0,0.0,0.0,benito raman,2019,Bundesliga
Michael Cuisance,20,France,Central Midfield,5000000,Borussia Mönchengladbach,8000000.0,Bundesliga_2019.csv,Bundesliga,Bayern Munich,,michael cuisance,2019,2018,2019,Bundesliga,Mickaël Cuisance,fr FRA,MF,Gladbach,18,1999.0,11.0,1.0,279,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,8.0,20.0,19.0,2018-2019,Bundesliga,0.0,0.0,0.0,mickaël cuisance,2018,Bundesliga,Mickaël Cuisance,fr FRA,MF FW,Bayern Munich,19,1999.0,9.0,3.0,307,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,8.0,17.0,15.0,2019-2020,Bundesliga,0.0,0.0,0.0,mickaël cuisance,2019,Bundesliga
Marcel Sabitzer,27,Austria,Central Midfield,42000000,RB Leipzig,15000000.0,Bundesliga_2021.csv,Bundesliga,Bayern Munich,,marcel sabitzer,2021,2020,2021,Bundesliga,Marcel Sabitzer,at AUT,MF,RB Leipzig,26,1994.0,27.0,24.0,2026,0.0,8.0,3.0,11.0,4.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,24.0,171.0,78.0,2020-2021,Bundesliga,0.0,0.0,0.0,marcel sabitzer,2020,Bundesliga,Marcel Sabitzer,at AUT,MF DF,Bayern Munich,27,1994.0,25.0,8.0,905,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,66.0,54.0,2021-2022,Bundesliga,0.0,0.0,0.0,marcel sabitzer,2021,Bundesliga
Maximilian Philipp,27,Germany,Second Striker,7000000,Dynamo Moscow,7500000.0,Bundesliga_2021.csv,Bundesliga,VfL Wolfsburg,,maximilian philipp,2021,2020,2021,Bundesliga,Maximilian Philipp,de GER,MF,Wolfsburg,26,1994.0,24.0,13.0,1111,0.0,6.0,2.0,8.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,28.0,71.0,2020-2021,Bundesliga,0.0,0.0,0.0,maximilian philipp,2020,Bundesliga,Maximilian Philipp,de GER,MF,Wolfsburg,27,1994.0,22.0,12.0,963,0.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,32.0,65.0,2021-2022,Bundesliga,0.0,0.0,0.0,maximilian philipp,2021,Bundesliga
Taiwo Awoniyi,23,Nigeria,Centre-Forward,5000000,Liverpool,8550000.0,Bundesliga_2021.csv,Bundesliga,1.FC Union Berlin,,taiwo awoniyi,2021,2020,2021,Bundesliga,Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997.0,21.0,16.0,1359,0.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,16.0,108.0,2020-2021,Bundesliga,0.0,0.0,0.0,taiwo awoniyi,2020,Bundesliga,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997.0,31.0,29.0,2174,0.0,15.0,1.0,16.0,13.0,2.0,2.0,1.0,0.0,0.0,12.0,0.0,0.0,36.0,51.0,171.0,2021-2022,Bundesliga,0.0,0.0,0.0,taiwo awoniyi,2021,Bundesliga
Hannes Wolf,22,Austria,Right Winger,8000000,RB Leipzig,9500000.0,Bundesliga_2021.csv,Bundesliga,Borussia Mönchengladbach,,hannes wolf,2021,2020,2021,Bundesliga,Hannes Wolf,at AUT,MF FW,Gladbach,21,1999.0,32.0,14.0,1378,0.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,56.0,102.0,2020-2021,Bundesliga,0.0,0.0,0.0,hannes wolf,2020,Bundesliga,Hannes Wolf,at AUT,FW MF,Gladbach,22,1999.0,7.0,2.0,307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,5.0,5.0,17.0,2021-2022,Bundesliga,0.0,0.0,0.0,hannes wolf,2021,Bundesliga
Suat Serdar,24,Germany,Central Midfield,9000000,FC Schalke 04,8000000.0,Bundesliga_2021.csv,Bundesliga,Hertha BSC,,suat serdar,2021,2020,2021,Bundesliga,Suat Serdar,de GER,MF,Schalke 04,23,1997.0,25.0,24.0,1953,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,44.0,67.0,52.0,2020-2021,Bundesliga,0.0,0.0,0.0,suat serdar,2020,Bundesliga,Suat Serdar,de GER,MF FW,Hertha BSC,24,1997.0,30.0,27.0,2218,0.0,3.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,83.0,77.0,2021-2022,Bundesliga,0.0,0.0,0.0,suat serdar,2021,Bundesliga
Marco Richter,23,Germany,Attacking Midfield,5000000,FC Augsburg,7100000.0,Bundesliga_2021.csv,Bundesliga,Hertha BSC,,marco richter,2021,2020,2021,Bundesliga,Marco Richter,de GER,FW MF,Augsburg,22,1997.0,29.0,16.0,1416,0.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,32.0,38.0,107.0,2020-2021,Bundesliga,0.0,0.0,0.0,marco richter,2020,Bundesliga,Marco Richter,de GER,FW MF,Hertha BSC,23,1997.0,30.0,19.0,1704,0.0,5.0,1.0,6.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,34.0,45.0,97.0,2021-2022,Bundesliga,0.0,0.0,0.0,marco richter,2021,Bundesliga
Thomas Delaney,26,Denmark,Central Midfield,12000000,Werder Bremen,20000000.0,Bundesliga_2018.csv,Bundesliga,Borussia Dortmund,,thomas delaney,2018,2017,2018,Bundesliga,Thomas Delaney,dk DEN,MF,Werder Bremen,25,1991.0,32.0,31.0,2796,0.0,3.0,4.0,7.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,145.0,96.0,2017-2018,Bundesliga,0.0,0.0,0.0,thomas delaney,2017,Bundesliga,Thomas Delaney,dk DEN,MF,Dortmund,26,1991.0,30.0,27.0,2283,0.0,3.0,5.0,8.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,21.0,126.0,32.0,2018-2019,Bundesliga,0.0,0.0,0.0,thomas delaney,2018,Bundesliga
Leonardo Bittencourt,24,Germany,Central Midfield,6000000,1.FC Köln,6000000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,,leonardo bittencourt,2018,2017,2018,Bundesliga,Leonardo Bittencourt,de GER,MF FW,Köln,23,1993.0,22.0,17.0,1613,0.0,5.0,3.0,8.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,64.0,69.0,170.0,2017-2018,Bundesliga,0.0,0.0,0.0,leonardo bittencourt,2017,Bundesliga,Leonardo Bittencourt,de GER,MF,Hoffenheim,24,1993.0,21.0,13.0,1069,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,53.0,66.0,2018-2019,Bundesliga,0.0,0.0,0.0,leonardo bittencourt,2018,Bundesliga
Ishak Belfodil,26,Algeria,Centre-Forward,5500000,Standard Liège,5500000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,,ishak belfodil,2018,2017,2018,Bundesliga,Ishak Belfodil,dz ALG,FW,Werder Bremen,25,1992.0,26.0,13.0,135,15.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,42.0,155.0,2017-2018,Bundesliga,0.2666666666666666,0.0666666666666666,0.3333333333333333,ishak belfodil,2017,Bundesliga,Ishak Belfodil,dz ALG,FW MF,Hoffenheim,26,1992.0,28.0,20.0,1863,0.0,16.0,3.0,19.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,63.0,30.0,210.0,2018-2019,Bundesliga,0.0,0.0,0.0,ishak belfodil,2018,Bundesliga
Vincenzo Grifo,25,Italy,Left Winger,7500000,Borussia Mönchengladbach,5500000.0,Bundesliga_2018.csv,Bundesliga,TSG Hoffenheim,,vincenzo grifo,2018,2017,2018,Bundesliga,Vincenzo Grifo,it ITA,MF FW,Gladbach,24,1993.0,17.0,9.0,786,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,19.0,44.0,48.0,2017-2018,Bundesliga,0.0,0.0,0.0,vincenzo grifo,2017,Bundesliga,Vincenzo Grifo,it ITA,MF FW,Hoffenheim,25,1993.0,7.0,3.0,335,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7,0.6,0.0,15.0,22.0,36.0,2018-2019,Bundesliga,0.0,0.0,0.0,vincenzo grifo,2018,Bundesliga
Gonzalo Castro,31,Germany,Central Midfield,8000000,Borussia Dortmund,5000000.0,Bundesliga_2018.csv,Bundesliga,VfB Stuttgart,,gonzalo castro,2018,2017,2018,Bundesliga,Gonzalo Castro,de GER,MF,Dortmund,30,1987.0,19.0,16.0,1206,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,17.0,97.0,47.0,2017-2018,Bundesliga,0.0,0.0,0.0,gonzalo castro,2017,Bundesliga,Gonzalo Castro,de GER,MF,Stuttgart,31,1987.0,25.0,19.0,1692,0.0,2.0,4.0,6.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,92.0,37.0,2018-2019,Bundesliga,0.0,0.0,0.0,gonzalo castro,2018,Bundesliga
Daniel Ginczek,27,Germany,Centre-Forward,3500000,VfB Stuttgart,10000000.0,Bundesliga_2018.csv,Bundesliga,VfL Wolfsburg,,daniel ginczek,2018,2017,2018,Bundesliga,Daniel Ginczek,de GER,FW,Stuttgart,26,1991.0,23.0,17.0,1523,0.0,7.0,0.0,7.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,18.0,31.0,101.0,2017-2018,Bundesliga,0.0,0.0,0.0,daniel ginczek,2017,Bundesliga,Daniel Ginczek,de GER,FW,Wolfsburg,27,1991.0,24.0,12.0,1276,0.0,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,103.0,2018-2019,Bundesliga,0.0,0.0,0.0,daniel ginczek,2018,Bundesliga
Suat Serdar,21,Germany,Central Midfield,7500000,1.FSV Mainz 05,11000000.0,Bundesliga_2018.csv,Bundesliga,FC Schalke 04,,suat serdar,2018,2017,2018,Bundesliga,Suat Serdar,de GER,MF,Mainz 05,20,1997.0,25.0,16.0,1703,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,69.0,34.0,2017-2018,Bundesliga,0.0,0.0,0.0,suat serdar,2017,Bundesliga,Suat Serdar,de GER,MF,Schalke 04,21,1997.0,26.0,20.0,1729,0.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,29.0,67.0,58.0,2018-2019,Bundesliga,0.0,0.0,0.0,suat serdar,2018,Bundesliga
Maximilian Philipp,23,Germany,Second Striker,15000000,SC Freiburg,20000000.0,Bundesliga_2017.csv,Bundesliga,Borussia Dortmund,,maximilian philipp,2017,2016,2017,Bundesliga,Maximilian Philipp,de GER,FW MF,Freiburg,22,1994.0,25.0,23.0,1929,0.0,9.0,2.0,11.0,9.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,maximilian philipp,2016,Bundesliga,Maximilian Philipp,de GER,FW,Dortmund,23,1994.0,20.0,15.0,1203,0.0,9.0,1.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,28.0,114.0,2017-2018,Bundesliga,0.0,0.0,0.0,maximilian philipp,2017,Bundesliga
Kingsley Coman,21,France,Left Winger,20000000,Juventus,21000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,,kingsley coman,2017,2016,2017,Bundesliga,Kingsley Coman,fr FRA,FW MF,Bayern Munich,20,1996.0,19.0,10.0,917,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,kingsley coman,2016,Bundesliga,Kingsley Coman,fr FRA,FW MF,Bayern Munich,21,1996.0,21.0,10.0,1153,0.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,60.0,202.0,2017-2018,Bundesliga,0.0,0.0,0.0,kingsley coman,2017,Bundesliga
Sandro Wagner,30,Germany,Centre-Forward,9000000,TSG Hoffenheim,13000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,,sandro wagner,2017,2016,2017,Bundesliga,Sandro Wagner,de GER,FW,Hoffenheim,28,1987.0,31.0,30.0,2597,0.0,11.0,2.0,13.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,sandro wagner,2016,Bundesliga,Sandro Wagner,de GER,FW,Hoffenheim,29,1987.0,11.0,10.0,870,0.0,4.0,3.0,7.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,29.0,55.0,2017-2018,Bundesliga,0.0,0.0,0.0,sandro wagner,2017,Bundesliga
Jhon Córdoba,24,Colombia,Centre-Forward,7000000,1.FSV Mainz 05,17000000.0,Bundesliga_2017.csv,Bundesliga,1.FC Köln,,jhon córdoba,2017,2016,2017,Bundesliga,Jhon Córdoba,co COL,FW,Mainz 05,23,1993.0,29.0,27.0,2345,0.0,5.0,3.0,8.0,5.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,jhon córdoba,2016,Bundesliga,Jhon Córdoba,co COL,FW,Köln,24,1993.0,18.0,9.0,957,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,0.0,27.0,16.0,99.0,2017-2018,Bundesliga,0.0,0.0,0.0,jhon córdoba,2017,Bundesliga
Yevgen Konoplyanka,27,Ukraine,Left Winger,10000000,Sevilla FC,12500000.0,Bundesliga_2017.csv,Bundesliga,FC Schalke 04,,yevgen konoplyanka,2017,2016,2017,Bundesliga,Yevhen Konoplyanka,ua UKR,FW MF,Schalke 04,26,1989.0,17.0,5.0,609,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,yevhen konoplyanka,2016,Bundesliga,Yevhen Konoplyanka,ua UKR,FW MF,Schalke 04,27,1989.0,27.0,18.0,1562,0.0,4.0,4.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,108.0,50.0,162.0,2017-2018,Bundesliga,0.0,0.0,0.0,yevhen konoplyanka,2017,Bundesliga
Serge Gnabry,21,Germany,Second Striker,15000000,SV Werder Bremen,8000000.0,Bundesliga_2017.csv,Bundesliga,Bayern Munich,,serge gnabry,2017,2016,2017,Bundesliga,Serge Gnabry,de GER,FW MF,Werder Bremen,21,1995.0,27.0,23.0,1963,0.0,11.0,1.0,12.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,serge gnabry,2016,Bundesliga,Serge Gnabry,de GER,FW,Hoffenheim,22,1995.0,22.0,20.0,1507,0.0,10.0,5.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,52.0,134.0,2017-2018,Bundesliga,0.0,0.0,0.0,serge gnabry,2017,Bundesliga
Admir Mehmedi,26,Switzerland,Second Striker,3500000,Bayer Leverkusen,8000000.0,Bundesliga_2017.csv,Bundesliga,VfL Wolfsburg,,admir mehmedi,2017,2016,2017,Bundesliga,Admir Mehmedi,ch SUI,FW MF,Leverkusen,25,1991.0,22.0,16.0,1258,14.0,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.2142857142857142,0.0714285714285714,0.2857142857142857,admir mehmedi,2016,Bundesliga,Admir Mehmedi,ch SUI,FW MF,Wolfsburg,26,1991.0,5.0,3.0,290,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.4,6.0,14.0,25.0,2017-2018,Bundesliga,0.0,0.0,0.0,admir mehmedi,2017,Bundesliga
Michael Gregoritsch,23,Austria,Centre-Forward,3500000,Hamburger SV,5500000.0,Bundesliga_2017.csv,Bundesliga,FC Augsburg,,michael gregoritsch,2017,2016,2017,Bundesliga,Michael Gregoritsch,at AUT,FW MF,Hamburger SV,22,1994.0,30.0,14.0,1305,0.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,Bundesliga,0.0,0.0,0.0,michael gregoritsch,2016,Bundesliga,Michael Gregoritsch,at AUT,MF FW,Augsburg,23,1994.0,32.0,30.0,2527,0.0,13.0,3.0,16.0,12.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,41.0,79.0,141.0,2017-2018,Bundesliga,0.0,0.0,0.0,michael gregoritsch,2017,Bundesliga
