Player,Age,Nationality,Position,Market_Value,Previous_Club,Transfer_Fee,source_file,league,Club,csvPlayer,player_clean,transfer_year,season_before,season_after,league_clean,has_before,has_after,before_Player,before_Nation,before_Pos,before_Squad,before_Age,before_Born,before_MP,before_Starts,before_Min,before_90s,before_Gls,before_Ast,before_G+A,before_G-PK,before_PK,before_PKatt,before_CrdY,before_CrdR,before_xG,before_npxG,before_xAG,before_npxG+xAG,before_PrgC,before_PrgP,before_PrgR,before_season,before_league,before_Gls_per_90,before_Ast_per_90,before_GA_per_90,before_player_clean,before_fbref_season,before_fbref_league,after_Player,after_Nation,after_Pos,after_Squad,after_Age,after_Born,after_MP,after_Starts,after_Min,after_90s,after_Gls,after_Ast,after_G+A,after_G-PK,after_PK,after_PKatt,after_CrdY,after_CrdR,after_xG,after_npxG,after_xAG,after_npxG+xAG,after_PrgC,after_PrgP,after_PrgR,after_season,after_league,after_Gls_per_90,after_Ast_per_90,after_GA_per_90,after_player_clean,after_fbref_season,after_fbref_league
Martin Ødegaard,22,Norway,Attacking Midfield,40000000,Real Madrid,35000000.0,premier_league_2021.csv,Premier League,,,martin ødegaard,2021,2020,2021,Premier League,True,True,Martin Ødegaard,no NOR,MF,Arsenal,21.0,1998.0,14.0,9.0,866.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,2.0,0.0,16.0,65.0,49.0,2020-2021,Premier-League,0.0,0.0,0.0,martin ødegaard,2020.0,Premier League,Martin Ødegaard,no NOR,MF FW,Arsenal,22.0,1998.0,36.0,32.0,2785.0,0.0,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,224.0,146.0,2021-2022,Premier-League,0.0,0.0,0.0,martin ødegaard,2021.0,Premier League
Emiliano Buendía,24,Argentina,Attacking Midfield,35000000,Norwich,38400000.0,premier_league_2021.csv,Premier League,,,emiliano buendía,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emi Buendía,ar ARG,MF FW,Aston Villa,24.0,1996.0,35.0,22.0,1899.0,0.0,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,117.0,84.0,2021-2022,Premier-League,0.0,0.0,0.0,emi buendía,2021.0,Premier League
Danny Ings,29,England,Centre-Forward,22000000,Southampton,29400000.0,premier_league_2021.csv,Premier League,,,danny ings,2021,2020,2021,Premier League,True,True,Danny Ings,eng ENG,FW,Southampton,28.0,1992.0,29.0,26.0,2173.0,0.0,12.0,4.0,16.0,10.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,52.0,134.0,2020-2021,Premier-League,0.0,0.0,0.0,danny ings,2020.0,Premier League,Danny Ings,eng ENG,FW,Aston Villa,29.0,1992.0,30.0,22.0,1898.0,0.0,7.0,6.0,13.0,6.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,8.0,24.0,39.0,117.0,2021-2022,Premier-League,0.0,0.0,0.0,danny ings,2021.0,Premier League
Enock Mwepu,23,Zambia,Central Midfield,13000000,Salzburg,23000000.0,premier_league_2021.csv,Premier League,,,enock mwepu,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enock Mwepu,zm ZAM,MF,Brighton,23.0,1998.0,18.0,12.0,996.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,44.0,2021-2022,Premier-League,0.0,0.0,0.0,enock mwepu,2021.0,Premier League
Deniz Undav,25,Germany,Centre-Forward,5000000,Union SG,7000000.0,premier_league_2021.csv,Premier League,,,deniz undav,2021,2020,2021,Premier League,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wout Weghorst,29,Netherlands,Centre-Forward,20000000,Wolfsburg,17500000.0,premier_league_2021.csv,Premier League,,,wout weghorst,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wout Weghorst,nl NED,FW,Burnley,28.0,1992.0,20.0,17.0,145.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,26.0,81.0,2021-2022,Premier-League,0.0,0.0,0.0,wout weghorst,2021.0,Premier League
Romelu Lukaku,28,Belgium,Centre-Forward,100000000,Inter,113000000.0,premier_league_2021.csv,Premier League,,,romelu lukaku,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Romelu Lukaku,be BEL,FW,Chelsea,28.0,1993.0,26.0,16.0,1589.0,0.0,8.0,0.0,8.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,29.0,19.0,125.0,2021-2022,Premier-League,0.0,0.0,0.0,romelu lukaku,2021.0,Premier League
Odsonne Édouard,23,France,Centre-Forward,17000000,Celtic,16300000.0,premier_league_2021.csv,Premier League,,,odsonne édouard,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Odsonne Édouard,fr FRA,FW,Crystal Palace,23.0,1998.0,28.0,18.0,1564.0,0.0,6.0,3.0,9.0,5.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,109.0,2021-2022,Premier-League,0.0,0.0,0.0,odsonne édouard,2021.0,Premier League
Jean-Philippe Mateta,24,France,Centre-Forward,5000000,Mainz,11000000.0,premier_league_2021.csv,Premier League,,,jean-philippe mateta,2021,2020,2021,Premier League,True,True,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23.0,1997.0,7.0,2.0,221.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,2.0,3.0,11.0,2020-2021,Premier-League,0.0,0.0,0.0,jean-philippe mateta,2020.0,Premier League,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24.0,1997.0,22.0,13.0,1145.0,0.0,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,46.0,2021-2022,Premier-League,0.0,0.0,0.0,jean-philippe mateta,2021.0,Premier League
Will Hughes,26,England,Central Midfield,7000000,Watford,7000000.0,premier_league_2021.csv,Premier League,,,will hughes,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will Hughes,eng ENG,MF,Crystal Palace,26.0,1995.0,16.0,13.0,1053.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.1,0.1,0.6,0.8,5.0,38.0,7.0,2021-2022,Premier-League,0.0,0.0,0.0,will hughes,2021.0,Premier League
Patson Daka,22,Zambia,Centre-Forward,22000000,Salzburg,30000000.0,premier_league_2021.csv,Premier League,,,patson daka,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patson Daka,zm ZAM,FW,Leicester City,22.0,1998.0,23.0,13.0,1159.0,0.0,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,17.0,66.0,2021-2022,Premier-League,0.0,0.0,0.0,patson daka,2021.0,Premier League
Julián Alvarez,22,Argentina,Centre-Forward,20000000,River Plate,21400000.0,premier_league_2021.csv,Premier League,,,julián alvarez,2021,2020,2021,Premier League,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,36,Portugal,Centre-Forward,45000000,Juventus,17000000.0,premier_league_2021.csv,Premier League,,,cristiano ronaldo,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36.0,1985.0,30.0,27.0,2456.0,0.0,18.0,3.0,21.0,15.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,67.0,64.0,192.0,2021-2022,Premier-League,0.0,0.0,0.0,cristiano ronaldo,2021.0,Premier League
Bruno Guimarães,24,Brazil,Central Midfield,30000000,Lyon,42100000.0,premier_league_2021.csv,Premier League,,,bruno guimarães,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruno Guimarães,br BRA,MF,Newcastle Utd,23.0,1997.0,17.0,11.0,1034.0,0.0,5.0,1.0,6.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.0,54.0,15.0,2021-2022,Premier-League,0.0,0.0,0.0,bruno guimarães,2021.0,Premier League
Joe Willock,21,England,Central Midfield,16000000,Arsenal,29400000.0,premier_league_2021.csv,Premier League,,,joe willock,2021,2020,2021,Premier League,True,True,Joe Willock,eng ENG,MF,Arsenal,20.0,1999.0,7.0,2.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.3,8.0,11.0,13.0,2020-2021,Premier-League,0.0,0.0,0.0,joe willock,2020.0,Premier League,Joe Willock,eng ENG,MF,Newcastle Utd,21.0,1999.0,29.0,24.0,2038.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,58.0,77.0,2021-2022,Premier-League,0.0,0.0,0.0,joe willock,2021.0,Premier League
Josh Sargent,21,USA,Centre-Forward,8000000,Werder Bremen,9500000.0,premier_league_2021.csv,Premier League,,,josh sargent,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josh Sargent,us USA,FW MF,Norwich City,21.0,2000.0,26.0,18.0,1572.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.0,21.0,12.0,88.0,2021-2022,Premier-League,0.0,0.0,0.0,josh sargent,2021.0,Premier League
Adam Armstrong,24,England,Centre-Forward,18000000,Blackburn,17700000.0,premier_league_2021.csv,Premier League,,,adam armstrong,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adam Armstrong,eng ENG,FW,Southampton,24.0,1997.0,23.0,17.0,1413.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,105.0,2021-2022,Premier-League,0.0,0.0,0.0,adam armstrong,2021.0,Premier League
Rodrigo Bentancur,24,Uruguay,Central Midfield,25000000,Juventus,19000000.0,premier_league_2021.csv,Premier League,,,rodrigo bentancur,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo Bentancur,uy URU,MF,Tottenham,24.0,1997.0,17.0,16.0,1361.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.0,0.0,20.0,76.0,11.0,2021-2022,Premier-League,0.0,0.0,0.0,rodrigo bentancur,2021.0,Premier League
Pape Matar Sarr,18,Senegal,Central Midfield,10000000,FC Metz,16900000.0,premier_league_2021.csv,Premier League,,,pape matar sarr,2021,2020,2021,Premier League,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imrân Louza,22,Morocco,Central Midfield,12000000,FC Nantes,10000000.0,premier_league_2021.csv,Premier League,,,imrân louza,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imran Louza,ma MAR,MF,Watford,22.0,1999.0,20.0,17.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0,67.0,23.0,2021-2022,Premier-League,0.0,0.0,0.0,imran louza,2021.0,Premier League
Nikola Vlašić,23,Croatia,Attacking Midfield,30000000,CSKA Moscow,30000000.0,premier_league_2021.csv,Premier League,,,nikola vlašić,2021,2020,2021,Premier League,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Vlašić,hr CRO,FW MF,West Ham,23.0,1997.0,19.0,6.0,560.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.0,21.0,14.0,48.0,2021-2022,Premier-League,0.0,0.0,0.0,nikola vlašić,2021.0,Premier League
Thomas Lemar,22,France,Attacking Midfield,65000000,Monaco,72000000.0,La_Liga_2018.csv,La Liga,,,thomas lemar,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Lemar,fr FRA,MF,Atlético Madrid,22.0,1995.0,31.0,22.0,1817.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,64.0,84.0,125.0,2018-2019,La-Liga,0.0,0.0,0.0,thomas lemar,2018.0,La Liga
Gerard Moreno,26,Spain,Centre-Forward,20000000,Espanyol,20000000.0,La_Liga_2018.csv,La Liga,,,gerard moreno,2018,2017,2018,La Liga,True,True,Gerard Moreno,es ESP,FW,Espanyol,25.0,1992.0,38.0,38.0,3412.0,37.9,16.0,1.0,17.0,15.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,71.0,139.0,252.0,2017-2018,La-Liga,0.4221635883905013,0.0263852242744063,0.4485488126649076,gerard moreno,2017.0,La Liga,Gerard Moreno,es ESP,FW,Villarreal,26.0,1992.0,35.0,25.0,2315.0,0.0,8.0,1.0,9.0,8.0,0.0,1.0,3.0,0.0,12.0,0.0,0.0,0.0,44.0,88.0,201.0,2018-2019,La-Liga,0.0,0.0,0.0,gerard moreno,2018.0,La Liga
Karl Toko Ekambi,25,Cameroon,Centre-Forward,18000000,Angers SCO,18000000.0,La_Liga_2018.csv,La Liga,,,karl toko ekambi,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karl Toko Ekambi,cm CMR,FW MF,Villarreal,25.0,1992.0,34.0,24.0,2144.0,0.0,10.0,1.0,11.0,10.0,0.0,1.0,5.0,0.0,0.0,10.0,0.0,0.0,92.0,28.0,222.0,2018-2019,La-Liga,0.0,0.0,0.0,karl toko ekambi,2018.0,La Liga
Fran Beltrán,19,Spain,Central Midfield,2000000,Rayo Vallecano,8000000.0,La_Liga_2018.csv,La Liga,,,fran beltrán,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fran Beltrán,es ESP,MF,Celta Vigo,19.0,1999.0,30.0,16.0,1517.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,2.0,15.0,67.0,29.0,2018-2019,La-Liga,0.0,0.0,0.0,fran beltrán,2018.0,La Liga
Nemanja Maksimovic,23,Serbia,Central Midfield,5000000,Valencia,10000000.0,La_Liga_2018.csv,La Liga,,,nemanja maksimovic,2018,2017,2018,La Liga,True,True,Nemanja Maksimović,rs SRB,MF,Valencia,22.0,1995.0,15.0,6.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.4,0.8,11.0,22.0,25.0,2017-2018,La-Liga,0.0,0.0,0.0,nemanja maksimović,2017.0,La Liga,Nemanja Maksimović,rs SRB,MF,Getafe,23.0,1995.0,36.0,36.0,3209.0,35.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.5,0.0,22.0,83.0,28.0,2018-2019,La-Liga,0.0280112044817927,0.0,0.0280112044817927,nemanja maksimović,2018.0,La Liga
Youssef En-Nesyri,21,Morocco,Centre-Forward,6000000,Málaga CF,6000000.0,La_Liga_2018.csv,La Liga,,,youssef en-nesyri,2018,2017,2018,La Liga,True,True,Youssef En-Nesyri,ma MAR,FW,Málaga,20.0,1997.0,25.0,16.0,1596.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.9,0.0,21.0,23.0,79.0,2017-2018,La-Liga,0.0,0.0,0.0,youssef en-nesyri,2017.0,La Liga,Youssef En-Nesyri,ma MAR,FW,Leganés,21.0,1997.0,31.0,22.0,2106.0,0.0,9.0,2.0,11.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,38.0,28.0,143.0,2018-2019,La-Liga,0.0,0.0,0.0,youssef en-nesyri,2018.0,La Liga
Borja Iglesias,25,Spain,Centre-Forward,1000000,Celta de Vigo,10000000.0,La_Liga_2018.csv,La Liga,,,borja iglesias,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borja Iglesias,es ESP,FW,Espanyol,25.0,1993.0,37.0,35.0,3075.0,34.2,17.0,3.0,20.0,14.0,3.0,3.0,5.0,0.0,16.0,0.0,0.0,0.0,52.0,31.0,251.0,2018-2019,La-Liga,0.4970760233918128,0.087719298245614,0.5847953216374269,borja iglesias,2018.0,La Liga
Raphael Dwamena,22,Ghana,Centre-Forward,6000000,FC Zurich,6200000.0,La_Liga_2018.csv,La Liga,,,raphael dwamena,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raphael Dwamena,gh GHA,FW,Levante,22.0,1995.0,12.0,1.0,222.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,0.0,7.0,3.0,17.0,2018-2019,La-Liga,0.0,0.0,0.0,raphael dwamena,2018.0,La Liga
Sergi Darder,24,Spain,Central Midfield,11000000,Lyon,8000000.0,La_Liga_2018.csv,La Liga,,,sergi darder,2018,2017,2018,La Liga,True,True,Sergi Darder,es ESP,MF,Espanyol,23.0,1993.0,35.0,32.0,2782.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,32.0,191.0,32.0,2017-2018,La-Liga,0.0,0.0,0.0,sergi darder,2017.0,La Liga,Sergi Darder,es ESP,MF,Espanyol,24.0,1993.0,34.0,32.0,2709.0,0.0,4.0,2.0,6.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,53.0,169.0,96.0,2018-2019,La-Liga,0.0,0.0,0.0,sergi darder,2018.0,La Liga
Nikola Kalinić,30,Croatia,Centre-Forward,14000000,AC Milan,14500000.0,La_Liga_2018.csv,La Liga,,,nikola kalinić,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nikola Kalinić,hr CRO,FW,Atlético Madrid,30.0,1988.0,17.0,7.0,642.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.2,2.0,5.0,4.0,43.0,2018-2019,La-Liga,0.0,0.0,0.0,nikola kalinić,2018.0,La Liga
Roger Martínez,24,Colombia,Centre-Forward,2500000,JS Suning,14900000.0,La_Liga_2018.csv,La Liga,,,roger martínez,2018,2017,2018,La Liga,True,True,Roger Martínez,co COL,FW,Villarreal,23.0,1994.0,8.0,2.0,230.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.0,0.7,5.0,4.0,25.0,2017-2018,La-Liga,0.0,0.0,0.0,roger martínez,2017.0,La Liga,Roger Martí,es ESP,FW,Levante,27.0,1991.0,31.0,23.0,1887.0,21.0,13.0,0.0,13.0,11.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,27.0,30.0,104.0,2018-2019,La-Liga,0.6190476190476191,0.0,0.6190476190476191,roger martí,2018.0,La Liga
William Carvalho,26,Portugal,Defensive Midfield,25000000,Sporting,18500000.0,La_Liga_2018.csv,La Liga,,,william carvalho,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,William Carvalho,pt POR,MF,Betis,26.0,1992.0,30.0,26.0,2385.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,7.0,0.0,0.5,0.5,0.0,0.0,47.0,199.0,31.0,2018-2019,La-Liga,0.0,0.0,0.0,william carvalho,2018.0,La Liga
Arturo Vidal,31,Chile,Central Midfield,35000000,Bayern Munich,18000000.0,La_Liga_2018.csv,La Liga,,,arturo vidal,2018,2017,2018,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arturo Vidal,cl CHI,MF,Barcelona,31.0,1987.0,33.0,22.0,1929.0,0.0,3.0,7.0,10.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,17.0,104.0,74.0,2018-2019,La-Liga,0.0,0.0,0.0,arturo vidal,2018.0,La Liga
Ferran Torres,21,Spain,Centre-Forward,45000000,Man City,55000000.0,La_Liga_2021.csv,La Liga,,,ferran torres,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrán Torres,es ESP,FW,Barcelona,21.0,2000.0,18.0,17.0,1412.0,0.0,4.0,4.0,8.0,3.0,1.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,34.0,53.0,215.0,2021-2022,La-Liga,0.0,0.0,0.0,ferrán torres,2021.0,La Liga
Rodrigo De Paul,27,Argentina,Central Midfield,38000000,Udinese,35000000.0,La_Liga_2021.csv,La Liga,,,rodrigo de paul,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27.0,1994.0,36.0,24.0,2151.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,65.0,162.0,53.0,2021-2022,La-Liga,0.0,0.0,0.0,rodrigo de paul,2021.0,La Liga
Matheus Cunha,22,Brazil,Second Striker,30000000,Hertha BSC,35000000.0,La_Liga_2021.csv,La Liga,,,matheus cunha,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matheus Cunha,br BRA,FW,Atlético Madrid,22.0,1999.0,29.0,8.0,1063.0,0.0,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,16.0,20.0,61.0,2021-2022,La-Liga,0.0,0.0,0.0,matheus cunha,2021.0,La Liga
Eduardo Camavinga,18,France,Central Midfield,55000000,Stade Rennais,31000000.0,La_Liga_2021.csv,La Liga,,,eduardo camavinga,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eduardo Camavinga,fr FRA,MF,Real Madrid,18.0,2002.0,26.0,13.0,1236.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,30.0,79.0,33.0,2021-2022,La-Liga,0.0,0.0,0.0,eduardo camavinga,2021.0,La Liga
Rafa Mir,24,Spain,Centre-Forward,12000000,Wolves,16000000.0,La_Liga_2021.csv,La Liga,,,rafa mir,2021,2020,2021,La Liga,True,True,Rafa Mir,es ESP,FW,Huesca,23.0,1997.0,38.0,32.0,2877.0,32.0,13.0,1.0,14.0,11.0,2.0,3.0,2.0,0.0,0.0,13.0,1.0,0.0,42.0,39.0,117.0,2020-2021,La-Liga,0.40625,0.03125,0.4375,rafa mir,2020.0,La Liga,Rafa Mir,es ESP,FW,Sevilla,24.0,1997.0,34.0,18.0,1808.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.3,0.0,18.0,16.0,76.0,2021-2022,La-Liga,0.0,0.0,0.0,rafa mir,2021.0,La Liga
Boulaye Dia,24,Senegal,Centre-Forward,14000000,Stade Reims,12000000.0,La_Liga_2021.csv,La Liga,,,boulaye dia,2021,2020,2021,La Liga,True,True,Abdoulay Diaby,ml MLI,DF,Getafe,29.0,1991.0,1.0,0.0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.3,2.0,0.0,4.0,2020-2021,La-Liga,0.0,0.0,0.0,abdoulay diaby,2020.0,La Liga,Boulaye Dia,sn SEN,FW,Villarreal,24.0,1996.0,25.0,13.0,1269.0,0.0,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,16.0,93.0,2021-2022,La-Liga,0.0,0.0,0.0,boulaye dia,2021.0,La Liga
Marcos André,24,Brazil,Centre-Forward,3500000,Real Valladolid,8500000.0,La_Liga_2021.csv,La Liga,,,marcos andré,2021,2020,2021,La Liga,True,True,Marcos André,br BRA,FW,Valladolid,23.0,1996.0,23.0,11.0,1177.0,0.0,4.0,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.7,0.0,26.0,15.0,67.0,2020-2021,La-Liga,0.0,0.0,0.0,marcos andré,2020.0,La Liga,Marcos André,br BRA,FW MF,Valencia,24.0,1996.0,29.0,8.0,973.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,19.0,20.0,62.0,2021-2022,La-Liga,0.0,0.0,0.0,marcos andré,2021.0,La Liga
Ante Budimir,29,Croatia,Centre-Forward,9000000,RCD Mallorca,8000000.0,La_Liga_2021.csv,La Liga,,,ante budimir,2021,2020,2021,La Liga,True,True,Ante Budimir,hr CRO,FW,Osasuna,29.0,1991.0,30.0,18.0,1625.0,0.0,11.0,0.0,11.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.8,10.0,14.0,29.0,103.0,2020-2021,La-Liga,0.0,0.0,0.0,ante budimir,2020.0,La Liga,Ante Budimir,hr CRO,FW,Osasuna,30.0,1991.0,28.0,20.0,1738.0,0.0,8.0,2.0,10.0,6.0,2.0,2.0,3.0,0.0,0.0,0.0,0.7,0.0,19.0,23.0,90.0,2021-2022,La-Liga,0.0,0.0,0.0,ante budimir,2021.0,La Liga
Matías Arezo,19,Uruguay,Centre-Forward,7000000,River Plate,5700000.0,La_Liga_2021.csv,La Liga,,,matías arezo,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matias Arezo,uy URU,FW MF,Granada,18.0,2002.0,8.0,1.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3,0.0,4.0,3.0,14.0,2021-2022,La-Liga,0.0,0.0,0.0,matias arezo,2021.0,La Liga
Jakub Jankto,25,Czech Republic,Left Midfield,11000000,Sampdoria,5160000.0,La_Liga_2021.csv,La Liga,,,jakub jankto,2021,2020,2021,La Liga,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakub Jankto,cz CZE,DF MF,Getafe,25.0,1996.0,14.0,6.0,587.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.0,0.0,8.0,20.0,32.0,2021-2022,La-Liga,0.0,0.0,0.0,jakub jankto,2021.0,La Liga
Carles Aleñá,23,Spain,Central Midfield,15000000,Barcelona,5000000.0,La_Liga_2021.csv,La Liga,,,carles aleñá,2021,2020,2021,La Liga,True,True,Carles Aleñá,es ESP,MF,Barcelona,22.0,1998.0,2.0,0.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,7.0,1.0,2020-2021,La-Liga,0.0,0.0,0.0,carles aleñá,2020.0,La Liga,Carles Aleñá,es ESP,MF,Getafe,23.0,1998.0,33.0,30.0,232.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,33.0,81.0,65.0,2021-2022,La-Liga,0.0,0.0,0.0,carles aleñá,2021.0,La Liga
